date,active_count,num_years_avg
2006-04-30,0,NaN
2006-05-01,2,0
2006-08-31,2,0.33401779603011633
2006-09-01,3,0.2245037645448323
2006-12-31,3,0.5557837097878165
2007-01-01,4,0.4188911704312115
2007-07-31,4,0.9965776865160849
2007-08-01,5,0.7994524298425736
2007-09-30,5,0.9637234770704997
2007-10-01,6,0.8053844398813599
2007-10-31,6,0.8875199634953229
2007-11-01,7,0.7630781265278186
2008-03-31,7,1.176493595384766
2008-04-01,8,1.0318275154004108
2008-05-31,8,1.196098562628337
2008-06-01,9,1.0656323674804167
2008-08-31,9,1.3147767891094382
2008-09-01,11,1.077966523551739
2008-09-30,11,1.1573641963785701
2008-10-01,12,1.0634268765685604
2008-10-31,12,1.1455624001825233
2008-11-01,13,1.0599694624335283
2009-04-30,13,1.5527826041173065
2009-05-01,14,1.444411850982693
2009-12-31,14,2.1124474430429254
2010-01-01,15,1.974172940908054
2010-03-31,15,2.2178416609628107
2010-04-01,16,2.0817932922655715
2010-04-30,16,2.161190965092403
2010-05-01,17,2.0366388855336797
2010-12-31,17,2.704674477593913
2011-01-01,18,2.5570005323598743
2011-03-31,18,2.800669252414632
2011-04-01,19,2.6558593609279875
2011-09-30,19,3.15414820418603
2011-10-01,21,2.856230240213813
2011-12-31,21,3.1053746618428346
2012-01-01,22,2.9668346711467852
2012-10-31,22,3.799141310434945
2012-11-01,23,3.6365800672559
2012-12-31,23,3.800851114483826
2013-01-01,27,3.2400943037493333
2013-02-28,27,3.3988896494029976
2013-03-01,28,3.280140803754768
2013-03-14,28,3.3157328639874843
2013-03-15,29,3.2040406901272145
2013-12-31,29,4.000755269182658
2014-01-01,31,3.7452032412620597
2014-01-31,31,3.827338764876024
2014-02-01,34,3.492128678986996
2014-02-02,33,3.4769045693070315
2014-02-28,33,3.5480886897724675
2014-03-01,34,3.446390465837259
2014-03-31,34,3.5285259894512206
2014-04-01,35,3.430370587660116
2014-05-31,35,3.5946416348880406
2014-06-01,36,3.497452277739752
2014-06-30,36,3.5768499505665847
2014-07-01,38,3.3911884433877297
2014-07-31,38,3.4733239670016935
2014-08-01,39,3.386932027589112
2014-10-31,39,3.636076449218134
2014-11-01,41,3.461311163419643
2014-11-30,41,3.540708836246474
2014-12-01,42,3.4590789087708993
2014-12-31,42,3.5412144323848644
2015-01-01,43,3.4615347882145078
2015-04-30,43,3.7873390318832287
2015-05-01,44,3.7039387717005794
2015-05-31,44,3.7860742953145414
2015-06-01,46,3.624081183227688
2015-10-31,46,4.040234502871768
2015-11-01,48,3.8745151722564457
2015-11-30,48,3.9539128450832766
2015-12-01,49,3.8759027224852978
2015-12-31,49,3.9580382460992616
2016-01-01,50,3.8815605749486646
2016-01-31,50,3.9636960985626284
2016-02-01,52,3.813878797451693
2016-02-29,52,3.890538619491392
2016-03-01,53,3.819818423669496
2016-05-31,53,4.068962845298517
2016-06-01,54,3.996298831343321
2016-06-26,54,4.064745101021624
2016-06-27,55,3.9935287163213227
2016-06-30,55,4.001742268682721
2016-07-01,55,3.9742144234957384
2016-07-31,55,4.0563499471097
2016-08-01,54,4.086445103556672
2016-09-30,54,4.250716150784596
2016-10-01,55,4.176118474270425
2016-10-09,55,4.198021280567481
2016-10-10,56,4.125745575437568
2016-10-31,56,4.1832404419673415
2016-11-01,58,4.041634213693974
2016-12-31,58,4.2059052609219
2017-01-01,57,4.212303517177613
2017-01-02,59,4.072158609728652
2017-01-15,59,4.107750669961369
2017-01-16,60,4.0419803787360244
2017-01-31,60,4.0830481405430055
2017-02-01,61,4.018805893111613
2017-02-05,61,4.029757296260142
2017-02-06,62,3.9674549027400587
2017-02-28,62,4.027687620056965
2017-03-01,64,3.904474674880219
2017-03-31,64,3.986610198494184
2017-04-01,65,3.9279734639077564
2017-05-31,65,4.092244511135681
2017-06-01,64,4.108145106091717
2017-06-30,64,4.187542778918548
2017-07-01,68,3.94379353384064
2017-07-31,68,4.025929057454605
2017-08-01,69,3.9196103522502947
2017-08-02,68,3.9799895317469907
2017-08-31,68,4.059387204573822
2017-09-01,74,3.7327635643857406
2017-09-02,73,3.784309864701413
2017-09-17,73,3.825377626508396
2017-09-18,74,3.776384187061807
2017-09-30,74,3.8092383965073893
2017-10-01,77,3.6634576922051263
2017-10-31,77,3.745593215819087
2017-11-01,80,3.6077686516084873
2017-11-14,80,3.6433607118412064
2017-11-15,81,3.6010850001267536
2017-11-30,81,3.642152761933732
2017-12-01,82,3.6004407271998793
2017-12-31,82,3.682576250813841
2018-01-01,84,3.595580326586487
2018-01-31,84,3.6777158502004506
2018-02-01,82,3.7337940935877514
2018-02-28,82,3.8077160648403194
2018-03-01,83,3.739508341373706
2018-03-31,83,3.8216438649876734
2018-04-01,88,3.5692240681973733
2018-04-14,88,3.6048161284300906
2018-04-15,89,3.567019664843997
2018-04-30,89,3.6080874266509784
2018-05-01,91,3.461907018375189
2018-05-13,91,3.494761227820775
2018-05-14,92,3.4594827842752127
2018-05-31,92,3.50602624765646
2018-06-01,94,3.427031907612099
2018-06-02,93,3.4652359188359725
2018-06-18,93,3.509041531430086
2018-06-19,94,3.474420027087248
2018-06-30,94,3.5045363857457
2018-07-01,97,3.385056132997453
2018-07-15,97,3.423386044017302
2018-07-16,98,3.3911634468982648
2018-07-31,98,3.432231208705247
2018-08-01,99,3.3699624582581444
2018-08-31,99,3.4520979818721096
2018-09-01,101,3.368667872947457
2018-09-30,101,3.44806554577429
2018-10-01,102,3.375286870394975
2018-10-31,102,3.457422394008939
2018-11-01,103,3.426566456011641
2018-11-30,103,3.5059641288384755
2018-12-01,102,3.5377058420904315
2018-12-31,102,3.619841365704392
2019-01-01,105,3.519076953163195
2019-02-28,105,3.677872298816859
2019-03-01,107,3.6118136982095215
2019-03-31,107,3.693949221823484
2019-04-01,106,3.7150568878901753
2019-04-30,106,3.794454560717008
2019-05-01,107,3.7617046319573713
2019-05-31,107,3.8438401555713337
2019-06-01,110,3.7416713334577785
2019-06-30,110,3.821069006284611
2019-07-01,114,3.674315837506156
2019-07-14,114,3.709907897738874
2019-07-15,115,3.6803618724518654
2019-07-31,115,3.7241674850459794
2019-08-01,114,3.735509204222054
2019-08-31,114,3.8176447278360164
2019-09-01,117,3.7224240509661435
2019-09-23,117,3.7826567682830503
2019-09-24,116,3.8160211475371124
2019-09-30,116,3.8324482522599075
2019-10-01,118,3.7701829487581073
2019-11-30,118,3.934453995986032
2019-12-01,119,3.9041062010019636
2020-01-31,119,4.071115099017018
2020-02-01,121,4.006516537410693
2020-02-28,121,4.0804385086632635
2020-02-29,120,4.110974218571754
2020-03-01,121,4.079714448950961
2020-03-31,121,4.161849972564925
2020-04-01,122,4.130451857586874
2020-04-30,122,4.209849530413708
2020-05-01,120,4.241181838923114
2020-05-31,120,4.3233173625370735
2020-06-01,119,4.353988001771552
2020-06-30,119,4.433385674598382
2020-07-01,118,4.467360410213576
2020-08-31,118,4.634369308228633
2020-09-01,118,4.572141208134665
2020-09-30,118,4.651538880961497
2020-10-01,120,4.550308008213553
2021-01-31,120,4.884325804243669
2021-02-01,119,4.913360826876952
2021-02-28,119,4.987282798129517
2021-03-01,117,5.051849511808444
2021-03-31,117,5.133985035422408
2021-04-01,117,5.117511129831459
2021-04-30,117,5.19690880265829
2021-05-01,116,5.21289150086148
2021-06-30,116,5.377162548089406
2021-07-01,117,5.333918344185286
2021-07-29,117,5.410578166224984
2021-07-30,116,5.459298071703368
2021-07-31,116,5.4620359224904975
2021-08-01,117,5.393870256293254
2021-08-31,117,5.476005779907219
2021-09-01,118,5.398415294841007
2021-09-15,118,5.436745205860857
2021-09-16,119,5.3937731149954855
2021-09-30,119,5.432103026015334
2021-10-01,122,5.301197248684375
2021-10-17,122,5.345002861278488
2021-10-18,123,5.304263145300855
2021-11-14,123,5.378185116553422
2021-11-15,124,5.337528427281359
2021-12-13,124,5.414188249321058
2021-12-14,123,5.434255410315913
2021-12-31,123,5.4807988736971565
2022-01-01,127,5.253676965943939
2022-01-31,127,5.3358124895579
2022-02-01,125,5.385921971252566
2022-02-13,125,5.41877618069815
2022-02-14,126,5.378486142346511
2022-03-31,126,5.501689427767456
2022-04-01,127,5.461085331479357
2022-04-10,127,5.485725988563545
2022-04-11,128,5.445585215605748
2022-06-30,128,5.664613278576315
2022-07-01,130,5.507123677144212
2022-07-31,130,5.589259200758175
2022-08-01,130,5.509313957773918
2022-08-14,130,5.5449060180066345
2022-08-15,133,5.422509044685638
2022-08-31,133,5.466314657279751
2022-09-01,135,5.388029507947371
2022-09-14,135,5.423621568180088
2022-09-15,136,5.386459717357169
2022-09-30,136,5.42752747916415
2022-10-01,135,5.363145486348775
2022-10-18,135,5.409688949730017
2022-10-19,134,5.444686219824901
2022-10-30,134,5.474802578483357
2022-10-31,133,5.481156690494202
2022-11-06,133,5.497583795216995
2022-11-07,134,5.459274469541406
2022-11-30,134,5.522245037645448
2022-12-01,134,5.501343385740699
2022-12-31,134,5.583478909354666
2023-01-01,133,5.552381981648168
2023-02-28,133,5.711177327301824
2023-03-01,134,5.671274020043517
2023-03-14,134,5.706866080276238
2023-03-15,135,5.667310568611049
2023-03-31,135,5.711116181205163
2023-04-01,133,5.751936308944848
2023-04-30,133,5.831333981771676
2023-05-01,134,5.748281181362182
2023-05-31,134,5.830416704976145
2023-06-01,135,5.746140390904254
2023-06-30,135,5.825538063731082
2023-07-01,135,5.815337034501989
2023-07-31,135,5.897472558115952
2023-08-01,136,5.8360107903531
2023-08-31,136,5.9181463139670685
2023-09-01,137,5.7614372717416815
2023-09-30,137,5.840834944568515
2023-10-01,136,5.845492611829123
2023-10-31,136,5.927628135443092
2023-11-01,135,5.834420868507111
2023-11-13,135,5.867275077952698
2023-11-14,136,5.826851068969682
2023-12-31,136,5.955530055964888
2024-01-01,134,5.879902336367441
2024-01-31,134,5.9620378599814075
2024-02-01,135,5.920592186985071
2024-02-29,135,5.997252009024768
2024-03-01,135,5.8673156387050955
2024-03-06,135,5.881004892640757
